1084,08104924140,P,21110,Yordanos Aslan                     ,Syrstad                            ,N,J,N,J,N,Kunder over 67år m/bruks & sparekto,N,N,N,N,N,N,N,N,N,N,N
1084,03094613409,P,21110,Liubov Mantas                      ,Tonstad                            ,N,J,N,J,N,Kunder over 67år m/bruks & sparekto,N,N,N,N,N,N,N,N,N,N,N
1084,28074509748,P,22010,Donna Varg                         ,Bakkehaug                          ,N,J,N,J,N,Kunder over 67år m/bruks & sparekto,N,N,N,N,N,N,N,N,N,N,N
1084,28104925814,P,20410,Knud Natalie                       ,Knutsen                            ,N,N,N,J,N,Kunder over 67år m/bruks & sparekto,N,N,N,N,N,N,N,N,N,N,N
1084,05074914162,P,20310,Wigdis Fernando                    ,Brænden                            ,N,N,J,J,N,Kunder over 67år m/bruks & sparekto,N,N,N,N,N,N,N,N,N,N,N
1084,05075513404,P,20110,Annika Mladen                      ,Sigvartsen                         ,N,N,N,J,N,Kunder over 67år m/bruks & sparekto,N,N,N,N,N,N,N,N,N,N,N
1084,02013905927,P,20310,Wibecke Romas                      ,Svensson                           ,N,J,N,J,N,Kunder over 67år m/bruks & sparekto,N,N,N,N,N,N,N,N,N,N,N
1084,08014220063,P,21110,Ingrida Staffan                    ,Brenden                            ,N,J,N,J,N,Kunder over 67år m/bruks & sparekto,N,N,N,N,N,N,N,N,N,N,N
1084,27113826458,P,20410,Justinas Rutt                      ,Lindgaard                          ,N,N,N,J,N,Kunder over 67år m/bruks & sparekto,N,N,N,N,N,N,N,N,N,N,N
1084,20105511478,P,20910,Boye Britha                        ,Busch                              ,N,J,J,J,N,Kunder over 67år m/bruks & sparekto,N,N,N,N,N,N,N,N,N,N,N
1084,10125306379,P,21110,Tor-Inge Harriet                   ,Bjerkestrand                       ,J,N,N,J,N,Kunder over 67år m/bruks & sparekto,N,N,N,N,N,N,N,N,N,N,N
1084,01025220613,P,20310,Knud Natalie                       ,Hanssen                            ,N,N,N,J,N,Kunder over 67år m/bruks & sparekto,N,N,N,N,N,N,N,N,N,N,N
1084,10024508264,P,21110,Elfrida Kato                       ,Magnus                             ,J,J,J,J,N,Kunder over 67år m/bruks & sparekto,N,N,N,N,N,N,N,N,N,N,N
